tidspunkt,by,temperatur_c,foles_som_c,fuktighet_prosent,vaer_beskrivelse,vind_meter_sek
2026-09-06T18:37:53.506002+00:00,Oslo,12.74,11.66,61,overskyet,1.23
2026-09-06T18:38:22.375731+00:00,Bergen,11.23,10.55,82,moderat regn,6.17
2026-09-06T18:51:25.332035+00:00,Oslo,12.74,11.66,61,overskyet,1.1
2026-09-06T19:04:10.284291+00:00,Oslo,12.74,11.66,61,overskyet,1.1
2026-09-06T19:05:33.405637+00:00,Oslo,12.74,11.66,61,overskyet,1.1
2026-09-06T19:05:34.751290+00:00,Stavanger,13.49,13.19,88,moderat regn,5.14
2026-09-06T19:05:36.079614+00:00,Bergen,11.23,10.55,82,kraftig regn,6.17
2026-09-06T19:05:37.526603+00:00,Trondheim,10.48,9.86,87,overskyet,2.05
2026-09-06T20:00:31.956641+00:00,Oslo,13.64,13.15,80,overskyet,1.21
2026-09-06T20:01:17.387056+00:00,Oslo,13.64,13.15,80,overskyet,1.21
2026-09-06T20:01:18.823081+00:00,Stavanger,13.45,13.36,96,lett regn,6.17
2026-09-06T20:01:20.269463+00:00,Bergen,11.23,10.68,87,moderat regn,6.69
2026-09-06T20:01:21.830650+00:00,Trondheim,9.97,9.09,90,overskyet,2.08
2026-09-06T20:03:54.247818+00:00,Oslo,13.64,13.15,80,overskyet,1.21
2026-09-06T20:03:55.733984+00:00,Stavanger,13.45,13.36,96,lett regn,6.17
2026-09-06T20:03:57.138309+00:00,Bergen,11.23,10.68,87,moderat regn,6.69
2026-09-06T20:03:58.875911+00:00,Trondheim,9.97,9.09,90,overskyet,2.08
